SEX,COUNTRY,NACE_R2,TIME,UNIT,VALUE
Males,Hungary,Information and communication,2018,Euro,2094
Males,Hungary,Information and communication,2018,Purchasing power standard (PPS),3248
Males,Hungary,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2133
Males,Hungary,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3309
Males,Hungary,Financial and insurance activities,2018,Euro,2535
Males,Hungary,Financial and insurance activities,2018,Purchasing power standard (PPS),3934
Males,Hungary,Real estate activities,2018,Euro,1883
Males,Hungary,Real estate activities,2018,Purchasing power standard (PPS),2921
Males,Hungary,Professional scientific and technical activities,2018,Euro,1960
Males,Hungary,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3042
Males,Hungary,Administrative and support service activities,2018,Euro,1993
Males,Hungary,Administrative and support service activities,2018,Purchasing power standard (PPS),3092
Males,Hungary,Public administration and defence; compulsory social security,2018,Euro,1376
Males,Hungary,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2135
Males,Hungary,Education,2018,Euro,1201
Males,Hungary,Education,2018,Purchasing power standard (PPS),1864
Males,Hungary,Human health and social work activities,2018,Euro,1533
Males,Hungary,Human health and social work activities,2018,Purchasing power standard (PPS),2379
Males,Hungary,Arts entertainment and recreation,2018,Euro,1157
Males,Hungary,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1795
Males,Hungary,Other service activities,2018,Euro,1242
Males,Hungary,Other service activities,2018,Purchasing power standard (PPS),1927
Males,Malta,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2848
Males,Malta,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3344
Males,Malta,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2900
Males,Malta,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3405
Males,Malta,Business economy,2018,Euro,2969
Males,Malta,Business economy,2018,Purchasing power standard (PPS),3486
Males,Malta,Industry and construction,2018,Euro,2769
Males,Malta,Industry and construction,2018,Purchasing power standard (PPS),3252
Males,Malta,Industry (except construction),2018,Euro,2920
Males,Malta,Industry (except construction),2018,Purchasing power standard (PPS),3429
Males,Malta,Mining and quarrying,2018,Euro,0
Males,Malta,Mining and quarrying,2018,Purchasing power standard (PPS),0
Males,Malta,Manufacturing,2018,Euro,2903
Males,Malta,Manufacturing,2018,Purchasing power standard (PPS),3409
Males,Malta,Electricity gas steam and air conditioning supply,2018,Euro,0
Males,Malta,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),0
Males,Malta,Water supply; sewerage waste management and remediation activities,2018,Euro,0
Males,Malta,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),0
Males,Malta,Construction,2018,Euro,2398
Males,Malta,Construction,2018,Purchasing power standard (PPS),2816
Males,Malta,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2858
Males,Malta,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3356
Males,Malta,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2918
Males,Malta,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3427
Males,Malta,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2871
Males,Malta,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3371
Males,Malta,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,3036
Males,Malta,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3565
Males,Malta,Transportation and storage,2018,Euro,3409
Males,Malta,Transportation and storage,2018,Purchasing power standard (PPS),4004
Males,Malta,Accommodation and food service activities,2018,Euro,2090
Males,Malta,Accommodation and food service activities,2018,Purchasing power standard (PPS),2454
Males,Malta,Information and communication,2018,Euro,2819
Males,Malta,Information and communication,2018,Purchasing power standard (PPS),3311
Males,Malta,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,3206
Males,Malta,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3766
Males,Malta,Financial and insurance activities,2018,Euro,0
Males,Malta,Financial and insurance activities,2018,Purchasing power standard (PPS),0
Males,Malta,Real estate activities,2018,Euro,0
Males,Malta,Real estate activities,2018,Purchasing power standard (PPS),0
Males,Malta,Professional scientific and technical activities,2018,Euro,2968
Males,Malta,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3485
Males,Malta,Administrative and support service activities,2018,Euro,3068
Males,Malta,Administrative and support service activities,2018,Purchasing power standard (PPS),3603
Males,Malta,Public administration and defence; compulsory social security,2018,Euro,2428
Males,Malta,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2851
Males,Malta,Education,2018,Euro,2351
Males,Malta,Education,2018,Purchasing power standard (PPS),2761
Males,Malta,Human health and social work activities,2018,Euro,3386
Males,Malta,Human health and social work activities,2018,Purchasing power standard (PPS),3977
Males,Malta,Arts entertainment and recreation,2018,Euro,0
Males,Malta,Arts entertainment and recreation,2018,Purchasing power standard (PPS),0
Males,Malta,Other service activities,2018,Euro,0
Males,Malta,Other service activities,2018,Purchasing power standard (PPS),0
Males,Netherlands,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4737
Males,Netherlands,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4101
Males,Netherlands,Industry construction and services (except public administration defense compulsory social security),2018,Euro,4742
Males,Netherlands,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),4106
Males,Netherlands,Business economy,2018,Euro,4845
Males,Netherlands,Business economy,2018,Purchasing power standard (PPS),4195
Males,Netherlands,Industry and construction,2018,Euro,5387
Males,Netherlands,Industry and construction,2018,Purchasing power standard (PPS),4664
Males,Netherlands,Industry (except construction),2018,Euro,5433
Males,Netherlands,Industry (except construction),2018,Purchasing power standard (PPS),4704
Males,Netherlands,Mining and quarrying,2018,Euro,6296
Males,Netherlands,Mining and quarrying,2018,Purchasing power standard (PPS),5451
Males,Netherlands,Manufacturing,2018,Euro,5411
Males,Netherlands,Manufacturing,2018,Purchasing power standard (PPS),4685
Males,Netherlands,Electricity gas steam and air conditioning supply,2018,Euro,5592
Males,Netherlands,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),4842
Males,Netherlands,Water supply; sewerage waste management and remediation activities,2018,Euro,5062
Males,Netherlands,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),4383
Males,Netherlands,Construction,2018,Euro,5215
Males,Netherlands,Construction,2018,Purchasing power standard (PPS),4516
Males,Netherlands,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4623
Males,Netherlands,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4002
Males,Netherlands,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4611
Males,Netherlands,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3993
Males,Netherlands,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4621
Males,Netherlands,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),4001
Males,Netherlands,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,4577
Males,Netherlands,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3963
Males,Netherlands,Transportation and storage,2018,Euro,4762
Males,Netherlands,Transportation and storage,2018,Purchasing power standard (PPS),4123
Males,Netherlands,Accommodation and food service activities,2018,Euro,2850
Males,Netherlands,Accommodation and food service activities,2018,Purchasing power standard (PPS),2468
Males,Netherlands,Information and communication,2018,Euro,4893
Males,Netherlands,Information and communication,2018,Purchasing power standard (PPS),4237
Males,Netherlands,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,4737
Males,Netherlands,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),4102
Males,Netherlands,Financial and insurance activities,2018,Euro,6418
Males,Netherlands,Financial and insurance activities,2018,Purchasing power standard (PPS),5557
Males,Netherlands,Real estate activities,2018,Euro,5159
Males,Netherlands,Real estate activities,2018,Purchasing power standard (PPS),4466
Males,Netherlands,Professional scientific and technical activities,2018,Euro,5239
Males,Netherlands,Professional scientific and technical activities,2018,Purchasing power standard (PPS),4536
Males,Netherlands,Administrative and support service activities,2018,Euro,3193
Males,Netherlands,Administrative and support service activities,2018,Purchasing power standard (PPS),2764
Males,Netherlands,Public administration and defence; compulsory social security,2018,Euro,4696
Males,Netherlands,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),4066
Males,Netherlands,Education,2018,Euro,4367
Males,Netherlands,Education,2018,Purchasing power standard (PPS),3781
Males,Netherlands,Human health and social work activities,2018,Euro,4609
Males,Netherlands,Human health and social work activities,2018,Purchasing power standard (PPS),3991
Males,Netherlands,Arts entertainment and recreation,2018,Euro,3896
Males,Netherlands,Arts entertainment and recreation,2018,Purchasing power standard (PPS),3374
Males,Netherlands,Other service activities,2018,Euro,4590
Males,Netherlands,Other service activities,2018,Purchasing power standard (PPS),3974
Males,Austria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Males,Austria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Males,Austria,Industry construction and services (except public administration defense compulsory social security),2018,Euro,4664
Males,Austria,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),4165
Males,Austria,Business economy,2018,Euro,4734
Males,Austria,Business economy,2018,Purchasing power standard (PPS),4228
Males,Austria,Industry and construction,2018,Euro,4793
Males,Austria,Industry and construction,2018,Purchasing power standard (PPS),4280
Males,Austria,Industry (except construction),2018,Euro,4873
Males,Austria,Industry (except construction),2018,Purchasing power standard (PPS),4352
Males,Austria,Mining and quarrying,2018,Euro,5320
Males,Austria,Mining and quarrying,2018,Purchasing power standard (PPS),4751
Males,Austria,Manufacturing,2018,Euro,4812
Males,Austria,Manufacturing,2018,Purchasing power standard (PPS),4297
Males,Austria,Electricity gas steam and air conditioning supply,2018,Euro,5762
Males,Austria,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),5146
Males,Austria,Water supply; sewerage waste management and remediation activities,2018,Euro,4448
Males,Austria,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3972
Males,Austria,Construction,2018,Euro,4416
Males,Austria,Construction,2018,Purchasing power standard (PPS),3944
Males,Austria,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Males,Austria,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Males,Austria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,4593
Males,Austria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),4101
Males,Austria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,4437
Males,Austria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3963
Males,Austria,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,4579
Males,Austria,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),4089
Males,Austria,Transportation and storage,2018,Euro,4403
Males,Austria,Transportation and storage,2018,Purchasing power standard (PPS),3932
Males,Austria,Accommodation and food service activities,2018,Euro,2534
Males,Austria,Accommodation and food service activities,2018,Purchasing power standard (PPS),2263
Males,Austria,Information and communication,2018,Euro,4745
Males,Austria,Information and communication,2018,Purchasing power standard (PPS),4237
Males,Austria,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,4976
Males,Austria,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),4443
Males,Austria,Financial and insurance activities,2018,Euro,5870
Males,Austria,Financial and insurance activities,2018,Purchasing power standard (PPS),5242
Males,Austria,Real estate activities,2018,Euro,5478
Males,Austria,Real estate activities,2018,Purchasing power standard (PPS),4892
Males,Austria,Professional scientific and technical activities,2018,Euro,5040
Males,Austria,Professional scientific and technical activities,2018,Purchasing power standard (PPS),4500
Males,Austria,Administrative and support service activities,2018,Euro,3450
Males,Austria,Administrative and support service activities,2018,Purchasing power standard (PPS),3081
Males,Austria,Public administration and defence; compulsory social security,2018,Euro,0
Males,Austria,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),0
Males,Austria,Education,2018,Euro,4184
Males,Austria,Education,2018,Purchasing power standard (PPS),3736
Males,Austria,Human health and social work activities,2018,Euro,4634
Males,Austria,Human health and social work activities,2018,Purchasing power standard (PPS),4139
Males,Austria,Arts entertainment and recreation,2018,Euro,3965
Males,Austria,Arts entertainment and recreation,2018,Purchasing power standard (PPS),3541
Males,Austria,Other service activities,2018,Euro,4246
Males,Austria,Other service activities,2018,Purchasing power standard (PPS),3791
Males,Poland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1735
Males,Poland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2914
Males,Poland,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1760
Males,Poland,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2956
Males,Poland,Business economy,2018,Euro,1893
Males,Poland,Business economy,2018,Purchasing power standard (PPS),3180
Males,Poland,Industry and construction,2018,Euro,1765
Males,Poland,Industry and construction,2018,Purchasing power standard (PPS),2964
Males,Poland,Industry (except construction),2018,Euro,1767
Males,Poland,Industry (except construction),2018,Purchasing power standard (PPS),2969
Males,Poland,Mining and quarrying,2018,Euro,1972
Males,Poland,Mining and quarrying,2018,Purchasing power standard (PPS),3312
Males,Poland,Manufacturing,2018,Euro,1751
Males,Poland,Manufacturing,2018,Purchasing power standard (PPS),2940
Males,Poland,Electricity gas steam and air conditioning supply,2018,Euro,1974
Males,Poland,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3315
Males,Poland,Water supply; sewerage waste management and remediation activities,2018,Euro,1407
Males,Poland,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2364
Males,Poland,Construction,2018,Euro,1750
Males,Poland,Construction,2018,Purchasing power standard (PPS),2940
Males,Poland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1722
Males,Poland,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2892
Males,Poland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1758
Males,Poland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2952
Males,Poland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1958
Males,Poland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3289
Males,Poland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1795
Males,Poland,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3015
Males,Poland,Transportation and storage,2018,Euro,1624
Males,Poland,Transportation and storage,2018,Purchasing power standard (PPS),2728
Males,Poland,Accommodation and food service activities,2018,Euro,1234
Males,Poland,Accommodation and food service activities,2018,Purchasing power standard (PPS),2073
Males,Poland,Information and communication,2018,Euro,2442
Males,Poland,Information and communication,2018,Purchasing power standard (PPS),4101
Males,Poland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2036
Males,Poland,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3420
Males,Poland,Financial and insurance activities,2018,Euro,2368
Males,Poland,Financial and insurance activities,2018,Purchasing power standard (PPS),3977
Males,Poland,Real estate activities,2018,Euro,1640
Males,Poland,Real estate activities,2018,Purchasing power standard (PPS),2754
Males,Poland,Professional scientific and technical activities,2018,Euro,2031
Males,Poland,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3410
Males,Poland,Administrative and support service activities,2018,Euro,1358
Males,Poland,Administrative and support service activities,2018,Purchasing power standard (PPS),2280
Males,Poland,Public administration and defence; compulsory social security,2018,Euro,1447
Males,Poland,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),2430
Males,Poland,Education,2018,Euro,1152
Males,Poland,Education,2018,Purchasing power standard (PPS),1935
Males,Poland,Human health and social work activities,2018,Euro,1622
Males,Poland,Human health and social work activities,2018,Purchasing power standard (PPS),2725
Males,Poland,Arts entertainment and recreation,2018,Euro,1125
Males,Poland,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1890
Males,Poland,Other service activities,2018,Euro,1737
Males,Poland,Other service activities,2018,Purchasing power standard (PPS),2918
Males,Portugal,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Males,Portugal,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Males,Portugal,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2384
Males,Portugal,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),2677
Males,Portugal,Business economy,2018,Euro,2364
Males,Portugal,Business economy,2018,Purchasing power standard (PPS),2654
Males,Portugal,Industry and construction,2018,Euro,2283
Males,Portugal,Industry and construction,2018,Purchasing power standard (PPS),2563
Males,Portugal,Industry (except construction),2018,Euro,2378
Males,Portugal,Industry (except construction),2018,Purchasing power standard (PPS),2670
Males,Portugal,Mining and quarrying,2018,Euro,3447
Males,Portugal,Mining and quarrying,2018,Purchasing power standard (PPS),3870
Males,Portugal,Manufacturing,2018,Euro,2282
Males,Portugal,Manufacturing,2018,Purchasing power standard (PPS),2562
Males,Portugal,Electricity gas steam and air conditioning supply,2018,Euro,3967
Males,Portugal,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),4455
Males,Portugal,Water supply; sewerage waste management and remediation activities,2018,Euro,2046
Males,Portugal,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2297
Males,Portugal,Construction,2018,Euro,1945
Males,Portugal,Construction,2018,Purchasing power standard (PPS),2184
Males,Portugal,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,0
Males,Portugal,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),0
Males,Portugal,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2408
Males,Portugal,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),2704
Males,Portugal,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2334
Males,Portugal,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),2621
Males,Portugal,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2307
Males,Portugal,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2591
Males,Portugal,Transportation and storage,2018,Euro,2945
Males,Portugal,Transportation and storage,2018,Purchasing power standard (PPS),3306
Males,Portugal,Accommodation and food service activities,2018,Euro,1656
Males,Portugal,Accommodation and food service activities,2018,Purchasing power standard (PPS),1859
Males,Portugal,Information and communication,2018,Euro,2323
Males,Portugal,Information and communication,2018,Purchasing power standard (PPS),2608
Males,Portugal,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2476
Males,Portugal,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),2780
Males,Portugal,Financial and insurance activities,2018,Euro,3074
Males,Portugal,Financial and insurance activities,2018,Purchasing power standard (PPS),3452
Males,Portugal,Real estate activities,2018,Euro,2363
Males,Portugal,Real estate activities,2018,Purchasing power standard (PPS),2654
Males,Portugal,Professional scientific and technical activities,2018,Euro,2470
Males,Portugal,Professional scientific and technical activities,2018,Purchasing power standard (PPS),2773
Males,Portugal,Administrative and support service activities,2018,Euro,1551
Males,Portugal,Administrative and support service activities,2018,Purchasing power standard (PPS),1741
Males,Portugal,Public administration and defence; compulsory social security,2018,Euro,0
Males,Portugal,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),0
Males,Portugal,Education,2018,Euro,2512
Males,Portugal,Education,2018,Purchasing power standard (PPS),2820
Males,Portugal,Human health and social work activities,2018,Euro,2366
Males,Portugal,Human health and social work activities,2018,Purchasing power standard (PPS),2656
Males,Portugal,Arts entertainment and recreation,2018,Euro,1766
Males,Portugal,Arts entertainment and recreation,2018,Purchasing power standard (PPS),1983
Males,Portugal,Other service activities,2018,Euro,2107
Males,Portugal,Other service activities,2018,Purchasing power standard (PPS),2366
Males,Romania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1663
Males,Romania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3073
Males,Romania,Industry construction and services (except public administration defense compulsory social security),2018,Euro,1651
Males,Romania,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3052
Males,Romania,Business economy,2018,Euro,1662
Males,Romania,Business economy,2018,Purchasing power standard (PPS),3071
Males,Romania,Industry and construction,2018,Euro,1512
Males,Romania,Industry and construction,2018,Purchasing power standard (PPS),2795
Males,Romania,Industry (except construction),2018,Euro,1591
Males,Romania,Industry (except construction),2018,Purchasing power standard (PPS),2941
Males,Romania,Mining and quarrying,2018,Euro,2299
Males,Romania,Mining and quarrying,2018,Purchasing power standard (PPS),4249
Males,Romania,Manufacturing,2018,Euro,1564
Males,Romania,Manufacturing,2018,Purchasing power standard (PPS),2891
Males,Romania,Electricity gas steam and air conditioning supply,2018,Euro,1656
Males,Romania,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3060
Males,Romania,Water supply; sewerage waste management and remediation activities,2018,Euro,1268
Males,Romania,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),2344
Males,Romania,Construction,2018,Euro,1224
Males,Romania,Construction,2018,Purchasing power standard (PPS),2263
Males,Romania,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1717
Males,Romania,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3173
Males,Romania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,1708
Males,Romania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3158
Males,Romania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,1770
Males,Romania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3272
Males,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,1417
Males,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),2619
Males,Romania,Transportation and storage,2018,Euro,1494
Males,Romania,Transportation and storage,2018,Purchasing power standard (PPS),2762
Males,Romania,Accommodation and food service activities,2018,Euro,880
Males,Romania,Accommodation and food service activities,2018,Purchasing power standard (PPS),1626
Males,Romania,Information and communication,2018,Euro,2355
Males,Romania,Information and communication,2018,Purchasing power standard (PPS),4353
Males,Romania,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,1703
Males,Romania,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Purchasing power standard (PPS),3148
Males,Romania,Financial and insurance activities,2018,Euro,2048
Males,Romania,Financial and insurance activities,2018,Purchasing power standard (PPS),3786
Males,Romania,Real estate activities,2018,Euro,1270
Males,Romania,Real estate activities,2018,Purchasing power standard (PPS),2348
Males,Romania,Professional scientific and technical activities,2018,Euro,1790
Males,Romania,Professional scientific and technical activities,2018,Purchasing power standard (PPS),3308
Males,Romania,Administrative and support service activities,2018,Euro,1363
Males,Romania,Administrative and support service activities,2018,Purchasing power standard (PPS),2519
Males,Romania,Public administration and defence; compulsory social security,2018,Euro,1775
Males,Romania,Public administration and defence; compulsory social security,2018,Purchasing power standard (PPS),3281
Males,Romania,Education,2018,Euro,1386
Males,Romania,Education,2018,Purchasing power standard (PPS),2562
Males,Romania,Human health and social work activities,2018,Euro,2459
Males,Romania,Human health and social work activities,2018,Purchasing power standard (PPS),4546
Males,Romania,Arts entertainment and recreation,2018,Euro,1265
Males,Romania,Arts entertainment and recreation,2018,Purchasing power standard (PPS),2339
Males,Romania,Other service activities,2018,Euro,1081
Males,Romania,Other service activities,2018,Purchasing power standard (PPS),1998
Males,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2746
Males,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3150
Males,Slovenia,Industry construction and services (except public administration defense compulsory social security),2018,Euro,2783
Males,Slovenia,Industry construction and services (except public administration defense compulsory social security),2018,Purchasing power standard (PPS),3192
Males,Slovenia,Business economy,2018,Euro,2834
Males,Slovenia,Business economy,2018,Purchasing power standard (PPS),3251
Males,Slovenia,Industry and construction,2018,Euro,2755
Males,Slovenia,Industry and construction,2018,Purchasing power standard (PPS),3160
Males,Slovenia,Industry (except construction),2018,Euro,2796
Males,Slovenia,Industry (except construction),2018,Purchasing power standard (PPS),3207
Males,Slovenia,Mining and quarrying,2018,Euro,3182
Males,Slovenia,Mining and quarrying,2018,Purchasing power standard (PPS),3649
Males,Slovenia,Manufacturing,2018,Euro,2749
Males,Slovenia,Manufacturing,2018,Purchasing power standard (PPS),3153
Males,Slovenia,Electricity gas steam and air conditioning supply,2018,Euro,3235
Males,Slovenia,Electricity gas steam and air conditioning supply,2018,Purchasing power standard (PPS),3711
Males,Slovenia,Water supply; sewerage waste management and remediation activities,2018,Euro,2621
Males,Slovenia,Water supply; sewerage waste management and remediation activities,2018,Purchasing power standard (PPS),3007
Males,Slovenia,Construction,2018,Euro,2329
Males,Slovenia,Construction,2018,Purchasing power standard (PPS),2671
Males,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2742
Males,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3145
Males,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Euro,2799
Males,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2018,Purchasing power standard (PPS),3210
Males,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Euro,2945
Males,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2018,Purchasing power standard (PPS),3377
Males,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Euro,2991
Males,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,2018,Purchasing power standard (PPS),3430
Males,Slovenia,Transportation and storage,2018,Euro,3091
Males,Slovenia,Transportation and storage,2018,Purchasing power standard (PPS),3545
Males,Slovenia,Accommodation and food service activities,2018,Euro,2140
Males,Slovenia,Accommodation and food service activities,2018,Purchasing power standard (PPS),2454
Males,Slovenia,Information and communication,2018,Euro,2964
Males,Slovenia,Information and communication,2018,Purchasing power standard (PPS),3400
Males,Slovenia,Financial and insurance activities; real estate activities; Professional scientific and technical activities; administrative and support service activities,2018,Euro,2851
