SEX,GEO,SIZECLAS,Value
Males,Romania,Wholesale and retail trade; repair of motor vehicles and motorcycles,890
Males,Romania,Transportation and storage,816
Males,Romania,Accommodation and food service activities,593
Males,Romania,Information and communication,1971
Males,Romania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,962
Males,Romania,Financial and insurance activities,1907
Males,Romania,Real estate activities,790
Males,Romania,Professional scientific and technical activities,1376
Males,Romania,Administrative and support service activities,694
Males,Romania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1276
Males,Romania,Public administration and defence; compulsory social security1309
Males,Romania,Education; human health and social work activities; arts entertainment and recreation; other service activities,1258
Males,Romania,Education,1171
Males,Romania,Human health and social work activities,1613
Males,Romania,Arts entertainment and recreation,906
Males,Romania,Other service activities,847
Males,Slovenia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1840
Males,Slovenia,Industry construction and services (except public administration defense compulsory social security),1817
Males,Slovenia,Business economy,1787
Males,Slovenia,Industry and construction,1737
Males,Slovenia,Industry (except construction),1792
Males,Slovenia,Mining and quarrying,2298
Males,Slovenia,Manufacturing,1762
Males,Slovenia,Electricity gas steam and air conditioning supply,2484
Males,Slovenia,Water supply; sewerage waste management and remediation activities,1567
Males,Slovenia,Construction,1466
Males,Slovenia,Services (except activities of households as employers and extra-territorial organisations and bodies),1936
Males,Slovenia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1901
Males,Slovenia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1807
Males,Slovenia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1873
Males,Slovenia,Transportation and storage,1533
Males,Slovenia,Accommodation and food service activities,1371
Males,Slovenia,Information and communication,2682
Males,Slovenia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1952
Males,Slovenia,Financial and insurance activities,2840
Males,Slovenia,Real estate activities,1903
Males,Slovenia,Professional scientific and technical activities,2377
Males,Slovenia,Administrative and support service activities,1337
Males,Slovenia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,2134
Males,Slovenia,Public administration and defence; compulsory social security2180
Males,Slovenia,Education; human health and social work activities; arts entertainment and recreation; other service activities,2100
Males,Slovenia,Education,2080
Males,Slovenia,Human health and social work activities,2237
Males,Slovenia,Arts entertainment and recreation,1936
Males,Slovenia,Other service activities,1620
Males,Slovakia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1296
Males,Slovakia,Industry construction and services (except public administration defense compulsory social security),1298
Males,Slovakia,Business economy,1305
Males,Slovakia,Industry and construction,1285
Males,Slovakia,Industry (except construction),1316
Males,Slovakia,Mining and quarrying,1225
Males,Slovakia,Manufacturing,1322
Males,Slovakia,Electricity gas steam and air conditioning supply,1704
Males,Slovakia,Water supply; sewerage waste management and remediation activities,1014
Males,Slovakia,Construction,1116
Males,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),1304
Males,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1308
Males,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1310
Males,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1324
Males,Slovakia,Transportation and storage,1070
Males,Slovakia,Accommodation and food service activities,850
Males,Slovakia,Information and communication,2115
Males,Slovakia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1364
Males,Slovakia,Financial and insurance activities,2333
Males,Slovakia,Real estate activities,1217
Males,Slovakia,Professional scientific and technical activities,1674
Males,Slovakia,Administrative and support service activities,922
Males,Slovakia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1251
Males,Slovakia,Public administration and defence; compulsory social security1275
Males,Slovakia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1231
Males,Slovakia,Education,1128
Males,Slovakia,Human health and social work activities,1524
Males,Slovakia,Arts entertainment and recreation,1166
Males,Slovakia,Other service activities,794
Males,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3738
Males,Finland,Industry construction and services (except public administration defense compulsory social security),3719
Males,Finland,Business economy,3727
Males,Finland,Industry and construction,3732
Males,Finland,Industry (except construction),3825
Males,Finland,Mining and quarrying,4167
Males,Finland,Manufacturing,3797
Males,Finland,Electricity gas steam and air conditioning supply,4809
Males,Finland,Water supply; sewerage waste management and remediation activities,3414
Males,Finland,Construction,3524
Males,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),3741
Males,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3711
Males,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3683
Males,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3520
Males,Finland,Transportation and storage,3418
Males,Finland,Accommodation and food service activities,2647
Males,Finland,Information and communication,4620
Males,Finland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3805
Males,Finland,Financial and insurance activities,5368
Males,Finland,Real estate activities,3876
Males,Finland,Professional scientific and technical activities,4267
Males,Finland,Administrative and support service activities,2796
Males,Finland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3779
Males,Finland,Public administration and defence; compulsory social security4010
Males,Finland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3673
Males,Finland,Education,3818
Males,Finland,Human health and social work activities,3723
Males,Finland,Arts entertainment and recreation,3146
Males,Finland,Other service activities,3446
Males,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3743
Males,Sweden,Industry construction and services (except public administration defense compulsory social security),3738
Males,Sweden,Business economy,3821
Males,Sweden,Industry and construction,3820
Males,Sweden,Industry (except construction),3857
Males,Sweden,Mining and quarrying,4180
Males,Sweden,Manufacturing,3833
Males,Sweden,Electricity gas steam and air conditioning supply,4445
Males,Sweden,Water supply; sewerage waste management and remediation activities,3536
Males,Sweden,Construction,3743
Males,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),3708
Males,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3698
Males,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3713
Males,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,3710
Males,Sweden,Transportation and storage,3315
Males,Sweden,Accommodation and food service activities,2780
Males,Sweden,Information and communication,4630
Males,Sweden,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4016
Males,Sweden,Financial and insurance activities,5794
Males,Sweden,Real estate activities,3810
Males,Sweden,Professional scientific and technical activities,4593
Males,Sweden,Administrative and support service activities,3094
Males,Sweden,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3497
Males,Sweden,Public administration and defence; compulsory social security3901
Males,Sweden,Education; human health and social work activities; arts entertainment and recreation; other service activities,3431
Males,Sweden,Education,3433
Males,Sweden,Human health and social work activities,3440
Males,Sweden,Arts entertainment and recreation,3197
Males,Sweden,Other service activities,3542
Males,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),5379
Males,Iceland,Industry construction and services (except public administration defense compulsory social security),5309
Males,Iceland,Business economy,5316
Males,Iceland,Industry and construction,5534
Males,Iceland,Industry (except construction),5509
Males,Iceland,Mining and quarrying,0
Males,Iceland,Manufacturing,5410
Males,Iceland,Electricity gas steam and air conditioning supply,7198
Males,Iceland,Water supply; sewerage waste management and remediation activities,4777
Males,Iceland,Construction,5595
Males,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),5309
Males,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),5195
Males,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4857
Males,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,5020
Males,Iceland,Transportation and storage,5324
Males,Iceland,Accommodation and food service activities,3849
Males,Iceland,Information and communication,5756
Males,Iceland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,9342
Males,Iceland,Financial and insurance activities,9342
Males,Iceland,Real estate activities,0
Males,Iceland,Professional scientific and technical activities,0
Males,Iceland,Administrative and support service activities,0
Males,Iceland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,5601
Males,Iceland,Public administration and defence; compulsory social security6268
Males,Iceland,Education; human health and social work activities; arts entertainment and recreation; other service activities,5272
Males,Iceland,Education,4765
Males,Iceland,Human health and social work activities,5797
Males,Iceland,Arts entertainment and recreation,0
Males,Iceland,Other service activities,0
Males,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),5164
Males,Norway,Industry construction and services (except public administration defense compulsory social security),5136
Males,Norway,Business economy,5213
Males,Norway,Industry and construction,5341
Males,Norway,Industry (except construction),5847
Males,Norway,Mining and quarrying,8173
Males,Norway,Manufacturing,5220
Males,Norway,Electricity gas steam and air conditioning supply,6554
Males,Norway,Water supply; sewerage waste management and remediation activities,4647
Males,Norway,Construction,4667
Males,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),5076
Males,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),5022
Males,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4861
Males,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,4521
Males,Norway,Transportation and storage,5006
Males,Norway,Accommodation and food service activities,3318
Males,Norway,Information and communication,6649
Males,Norway,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5623
Males,Norway,Financial and insurance activities,8023
Males,Norway,Real estate activities,6263
Males,Norway,Professional scientific and technical activities,6592
Males,Norway,Administrative and support service activities,4223
Males,Norway,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,5002
Males,Norway,Public administration and defence; compulsory social security5561
Males,Norway,Education; human health and social work activities; arts entertainment and recreation; other service activities,4781
Males,Norway,Education,4836
Males,Norway,Human health and social work activities,4850
Males,Norway,Arts entertainment and recreation,4160
Males,Norway,Other service activities,4861
Males,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),7226
Males,Switzerland,Industry construction and services (except public administration defense compulsory social security),7224
Males,Switzerland,Business economy,7171
Males,Switzerland,Industry and construction,6595
Males,Switzerland,Industry (except construction),6812
Males,Switzerland,Mining and quarrying,6327
Males,Switzerland,Manufacturing,6773
Males,Switzerland,Electricity gas steam and air conditioning supply,7832
Males,Switzerland,Water supply; sewerage waste management and remediation activities,6354
Males,Switzerland,Construction,6145
Males,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),7582
Males,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),7579
Males,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,6792
Males,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,6916
Males,Switzerland,Transportation and storage,6197
Males,Switzerland,Accommodation and food service activities,4612
Males,Switzerland,Information and communication,9175
Males,Switzerland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,8664
Males,Switzerland,Financial and insurance activities,11236
Males,Switzerland,Real estate activities,7805
Males,Switzerland,Professional scientific and technical activities,9499
Males,Switzerland,Administrative and support service activities,5865
Males,Switzerland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,7610
Males,Switzerland,Public administration and defence; compulsory social security8837
Males,Switzerland,Education; human health and social work activities; arts entertainment and recreation; other service activities,7597
Males,Switzerland,Education,8401
Males,Switzerland,Human health and social work activities,7398
Males,Switzerland,Arts entertainment and recreation,6851
Males,Switzerland,Other service activities,7543
Males,United Kingdom,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3677
Males,United Kingdom,Industry construction and services (except public administration defense compulsory social security),3677
Males,United Kingdom,Business economy,3672
Males,United Kingdom,Industry and construction,3658
Males,United Kingdom,Industry (except construction),3589
Males,United Kingdom,Mining and quarrying,5114
Males,United Kingdom,Manufacturing,3509
Males,United Kingdom,Electricity gas steam and air conditioning supply,4420
Males,United Kingdom,Water supply; sewerage waste management and remediation activities,3487
Males,United Kingdom,Construction,3874
Males,United Kingdom,Services (except activities of households as employers and extra-territorial organisations and bodies),3682
Males,United Kingdom,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3682
Males,United Kingdom,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3213
Males,United Kingdom,Wholesale and retail trade; repair of motor vehicles and motorcycles,2999
Males,United Kingdom,Transportation and storage,3422
Males,United Kingdom,Accommodation and food service activities,2150
Males,United Kingdom,Information and communication,4546
Males,United Kingdom,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4430
Males,United Kingdom,Financial and insurance activities,5949
Males,United Kingdom,Real estate activities,3611
Males,United Kingdom,Professional scientific and technical activities,5139
Males,United Kingdom,Administrative and support service activities,2983
Males,United Kingdom,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3689
Males,United Kingdom,Public administration and defence; compulsory social security3676
Males,United Kingdom,Education; human health and social work activities; arts entertainment and recreation; other service activities,3692
Males,United Kingdom,Education,3664
Males,United Kingdom,Human health and social work activities,3957
Males,United Kingdom,Arts entertainment and recreation,3207
Males,United Kingdom,Other service activities,3268
Males,North Macedonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),648
Males,North Macedonia,Industry construction and services (except public administration defense compulsory social security),636
Males,North Macedonia,Business economy,632
Males,North Macedonia,Industry and construction,595
Males,North Macedonia,Industry (except construction),606
Males,North Macedonia,Mining and quarrying,851
Males,North Macedonia,Manufacturing,560
Males,North Macedonia,Electricity gas steam and air conditioning supply,957
Males,North Macedonia,Water supply; sewerage waste management and remediation activities,501
Males,North Macedonia,Construction,554
Males,North Macedonia,Services (except activities of households as employers and extra-territorial organisations and bodies),682
Males,North Macedonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),669
Males,North Macedonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,698
Males,North Macedonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,683
Males,North Macedonia,Transportation and storage,619
Males,North Macedonia,Accommodation and food service activities,451
Males,North Macedonia,Information and communication,1198
Males,North Macedonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,600
Males,North Macedonia,Financial and insurance activities,1104
Males,North Macedonia,Real estate activities,495
Males,North Macedonia,Professional scientific and technical activities,717
Males,North Macedonia,Administrative and support service activities,448
Males,North Macedonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,695
Males,North Macedonia,Public administration and defence; compulsory social security724
Males,North Macedonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,657
Males,North Macedonia,Education,591
Males,North Macedonia,Human health and social work activities,842
Males,North Macedonia,Arts entertainment and recreation,583
Males,North Macedonia,Other service activities,698
Males,Albania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Males,Albania,Industry construction and services (except public administration defense compulsory social security),417
Males,Albania,Business economy,402
Males,Albania,Industry and construction,395
Males,Albania,Industry (except construction),419
Males,Albania,Mining and quarrying,665
Males,Albania,Manufacturing,323
Males,Albania,Electricity gas steam and air conditioning supply,604
Males,Albania,Water supply; sewerage waste management and remediation activities,328
Males,Albania,Construction,355
Males,Albania,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Males,Albania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),433
Males,Albania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,363
Males,Albania,Wholesale and retail trade; repair of motor vehicles and motorcycles,333
Males,Albania,Transportation and storage,422
Males,Albania,Accommodation and food service activities,261
Males,Albania,Information and communication,616
Males,Albania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,502
Males,Albania,Financial and insurance activities,833
Males,Albania,Real estate activities,433
Males,Albania,Professional scientific and technical activities,513
Males,Albania,Administrative and support service activities,427
Males,Albania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Males,Albania,Public administration and defence; compulsory social security0
Males,Albania,Education; human health and social work activities; arts entertainment and recreation; other service activities,506
Males,Albania,Education,524
Males,Albania,Human health and social work activities,518
Males,Albania,Arts entertainment and recreation,432
Males,Albania,Other service activities,464
Males,Serbia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),662
Males,Serbia,Industry construction and services (except public administration defense compulsory social security),659
Males,Serbia,Business economy,659
Males,Serbia,Industry and construction,660
Males,Serbia,Industry (except construction),687
Males,Serbia,Mining and quarrying,0
Males,Serbia,Manufacturing,640
Males,Serbia,Electricity gas steam and air conditioning supply,0
Males,Serbia,Water supply; sewerage waste management and remediation activities,512
Males,Serbia,Construction,505
Males,Serbia,Services (except activities of households as employers and extra-territorial organisations and bodies),664
Males,Serbia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),659
Males,Serbia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,627
Males,Serbia,Wholesale and retail trade; repair of motor vehicles and motorcycles,554
Males,Serbia,Transportation and storage,598
Males,Serbia,Accommodation and food service activities,490
Males,Serbia,Information and communication,994
Males,Serbia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,720
Males,Serbia,Financial and insurance activities,1246
Males,Serbia,Real estate activities,0
Males,Serbia,Professional scientific and technical activities,918
Males,Serbia,Administrative and support service activities,505
Males,Serbia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,676
Males,Serbia,Public administration and defence; compulsory social security733
Males,Serbia,Education; human health and social work activities; arts entertainment and recreation; other service activities,657
Males,Serbia,Education,651
Males,Serbia,Human health and social work activities,718
Males,Serbia,Arts entertainment and recreation,536
Males,Serbia,Other service activities,664
Males,Turkey,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Males,Turkey,Industry construction and services (except public administration defense compulsory social security),778
Males,Turkey,Business economy,725
Males,Turkey,Industry and construction,710
Males,Turkey,Industry (except construction),726
Males,Turkey,Mining and quarrying,845
Males,Turkey,Manufacturing,709
Males,Turkey,Electricity gas steam and air conditioning supply,851
Males,Turkey,Water supply; sewerage waste management and remediation activities,814
Males,Turkey,Construction,628
Males,Turkey,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Males,Turkey,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),845
Males,Turkey,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,712
Males,Turkey,Wholesale and retail trade; repair of motor vehicles and motorcycles,669
Males,Turkey,Transportation and storage,772
Males,Turkey,Accommodation and food service activities,571
Males,Turkey,Information and communication,1471
Males,Turkey,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,851
Males,Turkey,Financial and insurance activities,1166
Males,Turkey,Real estate activities,638
Males,Turkey,Professional scientific and technical activities,1190
Males,Turkey,Administrative and support service activities,622
Males,Turkey,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Males,Turkey,Public administration and defence; compulsory social security0
Males,Turkey,Education; human health and social work activities; arts entertainment and recreation; other service activities,1150
Males,Turkey,Education,1092
Males,Turkey,Human health and social work activities,1374
Males,Turkey,Arts entertainment and recreation,985
Males,Turkey,Other service activities,838
Females,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Belgium,Industry construction and services (except public administration defense compulsory social security),3188
Females,Belgium,Business economy,3236
Females,Belgium,Industry and construction,3359
Females,Belgium,Industry (except construction),3516
Females,Belgium,Mining and quarrying,3383
Females,Belgium,Manufacturing,3450
Females,Belgium,Electricity gas steam and air conditioning supply,5003
Females,Belgium,Water supply; sewerage waste management and remediation activities,3722
Females,Belgium,Construction,3082
Females,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),0
Females,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3159
Females,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3095
Females,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,3034
Females,Belgium,Transportation and storage,3060
Females,Belgium,Accommodation and food service activities,2556
Females,Belgium,Information and communication,4104
Females,Belgium,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3345
Females,Belgium,Financial and insurance activities,4322
Females,Belgium,Real estate activities,3445
Females,Belgium,Professional scientific and technical activities,4384
Females,Belgium,Administrative and support service activities,2682
Females,Belgium,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
Females,Belgium,Public administration and defence; compulsory social security0
Females,Belgium,Education; human health and social work activities; arts entertainment and recreation; other service activities,3108
Females,Belgium,Education,3613
Females,Belgium,Human health and social work activities,2910
Females,Belgium,Arts entertainment and recreation,2799
Females,Belgium,Other service activities,2964
Females,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),563
Females,Bulgaria,Industry construction and services (except public administration defense compulsory social security),561
Females,Bulgaria,Business economy,568
Females,Bulgaria,Industry and construction,479
Females,Bulgaria,Industry (except construction),474
Females,Bulgaria,Mining and quarrying,771
Females,Bulgaria,Manufacturing,458
Females,Bulgaria,Electricity gas steam and air conditioning supply,927
Females,Bulgaria,Water supply; sewerage waste management and remediation activities,439
Females,Bulgaria,Construction,564
Females,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),596
Females,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),597
Females,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,598
Females,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,547
Females,Bulgaria,Transportation and storage,548
Females,Bulgaria,Accommodation and food service activities,380
Females,Bulgaria,Information and communication,1191
Females,Bulgaria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,720
Females,Bulgaria,Financial and insurance activities,798
Females,Bulgaria,Real estate activities,575
Females,Bulgaria,Professional scientific and technical activities,873
Females,Bulgaria,Administrative and support service activities,552
Females,Bulgaria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,553
Females,Bulgaria,Public administration and defence; compulsory social security583
Females,Bulgaria,Education; human health and social work activities; arts entertainment and recreation; other service activities,544
Females,Bulgaria,Education,562
Females,Bulgaria,Human health and social work activities,542
Females,Bulgaria,Arts entertainment and recreation,449
Females,Bulgaria,Other service activities,474
Females,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1086
Females,Czechia,Industry construction and services (except public administration defense compulsory social security),1074
Females,Czechia,Business economy,1045
Females,Czechia,Industry and construction,1018
Females,Czechia,Industry (except construction),1015
Females,Czechia,Mining and quarrying,1135
Females,Czechia,Manufacturing,1007
Females,Czechia,Electricity gas steam and air conditioning supply,1385
Females,Czechia,Water supply; sewerage waste management and remediation activities,989
Females,Czechia,Construction,1076
Females,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),1111
Females,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1098
Females,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1044
Females,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1026
Females,Czechia,Transportation and storage,1049
Females,Czechia,Accommodation and food service activities,758
Females,Czechia,Information and communication,1576
Females,Czechia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1102
Females,Czechia,Financial and insurance activities,1488
Females,Czechia,Real estate activities,1072
Females,Czechia,Professional scientific and technical activities,1406
Females,Czechia,Administrative and support service activities,785
Females,Czechia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1159
Females,Czechia,Public administration and defence; compulsory social security1217
Females,Czechia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1141
Females,Czechia,Education,1098
Females,Czechia,Human health and social work activities,1225
Females,Czechia,Arts entertainment and recreation,996
Females,Czechia,Other service activities,901
Females,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4087
Females,Denmark,Industry construction and services (except public administration defense compulsory social security),4060
Females,Denmark,Business economy,4152
Females,Denmark,Industry and construction,4759
Females,Denmark,Industry (except construction),4810
Females,Denmark,Mining and quarrying,6496
Females,Denmark,Manufacturing,4761
Females,Denmark,Electricity gas steam and air conditioning supply,5422
Females,Denmark,Water supply; sewerage waste management and remediation activities,4616
Females,Denmark,Construction,4374
Females,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),4035
Females,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4002
Females,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3662
Females,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,3366
Females,Denmark,Transportation and storage,4823
Females,Denmark,Accommodation and food service activities,3054
Females,Denmark,Information and communication,5146
Females,Denmark,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4499
Females,Denmark,Financial and insurance activities,5631
Females,Denmark,Real estate activities,4210
Females,Denmark,Professional scientific and technical activities,5071
Females,Denmark,Administrative and support service activities,3911
Females,Denmark,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4036
Females,Denmark,Public administration and defence; compulsory social security4575
Females,Denmark,Education; human health and social work activities; arts entertainment and recreation; other service activities,3980
Females,Denmark,Education,4473
Females,Denmark,Human health and social work activities,3828
Females,Denmark,Arts entertainment and recreation,3500
Females,Denmark,Other service activities,4741
Females,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),2996
Females,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),2953
Females,Germany (until 1990 former territory of the FRG),Business economy,2795
Females,Germany (until 1990 former territory of the FRG),Industry and construction,3109
Females,Germany (until 1990 former territory of the FRG),Industry (except construction),3150
Females,Germany (until 1990 former territory of the FRG),Mining and quarrying,3607
Females,Germany (until 1990 former territory of the FRG),Manufacturing,3117
Females,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,4099
Females,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,3143
Females,Germany (until 1990 former territory of the FRG),Construction,2652
Females,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),2980
Females,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),2928
Females,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2533
Females,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,2536
Females,Germany (until 1990 former territory of the FRG),Transportation and storage,2617
Females,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,1887
Females,Germany (until 1990 former territory of the FRG),Information and communication,3743
Females,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,2943
Females,Germany (until 1990 former territory of the FRG),Financial and insurance activities,4102
Females,Germany (until 1990 former territory of the FRG),Real estate activities,3184
Females,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,3412
Females,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2160
Females,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3234
Females,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security3472
Females,Germany (until 1990 former territory of the FRG),Education; human health and social work activities; arts entertainment and recreation; other service activities,3182
Females,Germany (until 1990 former territory of the FRG),Education,3656
Females,Germany (until 1990 former territory of the FRG),Human health and social work activities,3039
