"SEX","GEO","INDIC_SE","ISCED11","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Males","Lithuania","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 509"
"Males","Lithuania","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","977"
"Males","Lithuania","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 437"
"Males","Lithuania","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","1 093"
"Males","Lithuania","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 608"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","6 767"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","5 226"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","6 687"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","5 164"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","6 466"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","4 994"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","5 456"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","4 214"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","5 923"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","4 574"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro",":"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","5 743"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","4 435"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro",":"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro",":"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","4 646"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","3 588"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","6 966"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","5 380"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","6 879"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","5 313"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","5 949"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 594"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","5 925"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","4 576"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","7 402"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","5 717"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","3 734"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 884"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","5 808"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","4 485"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","7 002"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","5 408"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","7 697"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","5 944"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","7 202"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","5 562"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","6 510"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","5 028"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","4 780"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 692"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","8 568"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","6 617"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","10 081"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","7 785"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","8 268"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","6 386"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","8 617"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","6 655"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","8 220"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","6 348"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","6 193"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","4 783"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","6 943"
"Males","Luxembourg","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","5 362"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 713"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 657"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1 783"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","2 766"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","1 992"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","3 090"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","1 949"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","3 023"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","2 007"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","3 113"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","2 237"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","3 470"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","1 986"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","3 081"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","2 379"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","3 691"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1 597"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)","2 478"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","1 550"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 405"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 650"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 560"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1 727"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","2 679"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1 926"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","2 989"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1 827"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","2 835"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","1 802"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","2 795"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","1 313"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 037"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","2 094"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","3 248"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","2 133"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 309"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro","2 535"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)","3 934"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro","1 883"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)","2 921"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","1 960"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","3 042"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","1 993"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 092"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 314"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 039"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1 376"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","2 135"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1 270"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 970"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","1 201"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","1 864"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","1 533"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","2 379"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro","1 157"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)","1 795"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro","1 242"
"Males","Hungary","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)","1 927"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2 848"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 344"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","2 900"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","3 405"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","2 969"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","3 486"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","2 769"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","3 252"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","2 920"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","3 429"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","2 903"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","3 409"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Euro","2 398"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Construction","2018","10 employees or more","Purchasing power standard (PPS)","2 816"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2 858"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 356"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","2 918"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","3 427"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","2 871"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Purchasing power standard (PPS)","3 371"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3 036"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Purchasing power standard (PPS)","3 565"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Euro","3 409"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Transportation and storage","2018","10 employees or more","Purchasing power standard (PPS)","4 004"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Euro","2 090"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Accommodation and food service activities","2018","10 employees or more","Purchasing power standard (PPS)","2 454"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Euro","2 819"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Information and communication","2018","10 employees or more","Purchasing power standard (PPS)","3 311"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3 206"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 766"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Financial and insurance activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Real estate activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Euro","2 968"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Professional, scientific and technical activities","2018","10 employees or more","Purchasing power standard (PPS)","3 485"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Euro","3 068"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Administrative and support service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 603"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2 705"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 177"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","2 428"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Public administration and defence; compulsory social security","2018","10 employees or more","Purchasing power standard (PPS)","2 851"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2 792"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Purchasing power standard (PPS)","3 279"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Euro","2 351"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Education","2018","10 employees or more","Purchasing power standard (PPS)","2 761"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Euro","3 386"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Human health and social work activities","2018","10 employees or more","Purchasing power standard (PPS)","3 977"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Arts, entertainment and recreation","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Euro",":"
"Males","Malta","Gross earnings","Tertiary education (levels 5-8)","Other service activities","2018","10 employees or more","Purchasing power standard (PPS)",":"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","4 737"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Purchasing power standard (PPS)","4 101"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","4 742"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Purchasing power standard (PPS)","4 106"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Euro","4 845"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Business economy","2018","10 employees or more","Purchasing power standard (PPS)","4 195"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Euro","5 387"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry and construction","2018","10 employees or more","Purchasing power standard (PPS)","4 664"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Euro","5 433"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Industry (except construction)","2018","10 employees or more","Purchasing power standard (PPS)","4 704"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Euro","6 296"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Mining and quarrying","2018","10 employees or more","Purchasing power standard (PPS)","5 451"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Euro","5 411"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Manufacturing","2018","10 employees or more","Purchasing power standard (PPS)","4 685"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","5 592"
"Males","Netherlands","Gross earnings","Tertiary education (levels 5-8)","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Purchasing power standard (PPS)","4 842"
