"SEX","GEO","INDIC_SE","ISCO08","NACE_R2","TIME","SIZECLAS","UNIT","Value"
"Males","Poland","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,007"
"Males","Poland","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,070"
"Males","Poland","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,246"
"Males","Poland","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,243"
"Males","Poland","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,228"
"Males","Poland","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,170"
"Males","Poland","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,003"
"Males","Poland","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","833"
"Males","Poland","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,237"
"Males","Poland","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,404"
"Males","Poland","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","2,238"
"Males","Poland","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,097"
"Males","Poland","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,757"
"Males","Poland","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","784"
"Males","Poland","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,151"
"Males","Poland","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1,292"
"Males","Poland","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,097"
"Males","Poland","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,062"
"Males","Poland","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,235"
"Males","Poland","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","972"
"Males","Poland","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","1,058"
"Males","Portugal","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Males","Portugal","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,372"
"Males","Portugal","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,297"
"Males","Portugal","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,207"
"Males","Portugal","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,267"
"Males","Portugal","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,415"
"Males","Portugal","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,244"
"Males","Portugal","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","2,998"
"Males","Portugal","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,033"
"Males","Portugal","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,039"
"Males","Portugal","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro",":"
"Males","Portugal","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,473"
"Males","Portugal","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,337"
"Males","Portugal","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,260"
"Males","Portugal","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,388"
"Males","Portugal","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","993"
"Males","Portugal","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,127"
"Males","Portugal","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,415"
"Males","Portugal","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","2,706"
"Males","Portugal","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,472"
"Males","Portugal","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,972"
"Males","Portugal","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","953"
"Males","Portugal","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro",":"
"Males","Portugal","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro",":"
"Males","Portugal","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,922"
"Males","Portugal","Gross earnings","Total","Education","2018","10 employees or more","Euro","2,211"
"Males","Portugal","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,645"
"Males","Portugal","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","1,875"
"Males","Portugal","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","1,539"
"Males","Romania","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","980"
"Males","Romania","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","964"
"Males","Romania","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","934"
"Males","Romania","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","876"
"Males","Romania","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","931"
"Males","Romania","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,286"
"Males","Romania","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","905"
"Males","Romania","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,240"
"Males","Romania","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","777"
"Males","Romania","Gross earnings","Total","Construction","2018","10 employees or more","Euro","712"
"Males","Romania","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,060"
"Males","Romania","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,037"
"Males","Romania","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,005"
"Males","Romania","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","890"
"Males","Romania","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","816"
"Males","Romania","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","593"
"Males","Romania","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","1,971"
"Males","Romania","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","962"
"Males","Romania","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","1,907"
"Males","Romania","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","790"
"Males","Romania","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,376"
"Males","Romania","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","694"
"Males","Romania","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,276"
"Males","Romania","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1,309"
"Males","Romania","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,258"
"Males","Romania","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,171"
"Males","Romania","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,613"
"Males","Romania","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","906"
"Males","Romania","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","847"
"Males","Slovenia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,840"
"Males","Slovenia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,817"
"Males","Slovenia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,787"
"Males","Slovenia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,737"
"Males","Slovenia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,792"
"Males","Slovenia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","2,298"
"Males","Slovenia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,762"
"Males","Slovenia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","2,484"
"Males","Slovenia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,567"
"Males","Slovenia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,466"
"Males","Slovenia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,936"
"Males","Slovenia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,901"
"Males","Slovenia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,807"
"Males","Slovenia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,873"
"Males","Slovenia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,533"
"Males","Slovenia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","1,371"
"Males","Slovenia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,682"
"Males","Slovenia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,952"
"Males","Slovenia","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","2,840"
"Males","Slovenia","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,903"
"Males","Slovenia","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","2,377"
"Males","Slovenia","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","1,337"
"Males","Slovenia","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2,134"
"Males","Slovenia","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","2,180"
"Males","Slovenia","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","2,100"
"Males","Slovenia","Gross earnings","Total","Education","2018","10 employees or more","Euro","2,080"
"Males","Slovenia","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","2,237"
"Males","Slovenia","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","1,936"
"Males","Slovenia","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","1,620"
"Males","Slovakia","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,296"
"Males","Slovakia","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","1,298"
"Males","Slovakia","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","1,305"
"Males","Slovakia","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","1,285"
"Males","Slovakia","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","1,316"
"Males","Slovakia","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","1,225"
"Males","Slovakia","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","1,322"
"Males","Slovakia","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","1,704"
"Males","Slovakia","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","1,014"
"Males","Slovakia","Gross earnings","Total","Construction","2018","10 employees or more","Euro","1,116"
"Males","Slovakia","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,304"
"Males","Slovakia","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","1,308"
"Males","Slovakia","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","1,310"
"Males","Slovakia","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","1,324"
"Males","Slovakia","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","1,070"
"Males","Slovakia","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","850"
"Males","Slovakia","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","2,115"
"Males","Slovakia","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","1,364"
"Males","Slovakia","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","2,333"
"Males","Slovakia","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","1,217"
"Males","Slovakia","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","1,674"
"Males","Slovakia","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","922"
"Males","Slovakia","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,251"
"Males","Slovakia","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","1,275"
"Males","Slovakia","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","1,231"
"Males","Slovakia","Gross earnings","Total","Education","2018","10 employees or more","Euro","1,128"
"Males","Slovakia","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","1,524"
"Males","Slovakia","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","1,166"
"Males","Slovakia","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","794"
"Males","Finland","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,738"
"Males","Finland","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,719"
"Males","Finland","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,727"
"Males","Finland","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","3,732"
"Males","Finland","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","3,825"
"Males","Finland","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","4,167"
"Males","Finland","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","3,797"
"Males","Finland","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","4,809"
"Males","Finland","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","3,414"
"Males","Finland","Gross earnings","Total","Construction","2018","10 employees or more","Euro","3,524"
"Males","Finland","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,741"
"Males","Finland","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,711"
"Males","Finland","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","3,683"
"Males","Finland","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3,520"
"Males","Finland","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","3,418"
"Males","Finland","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","2,647"
"Males","Finland","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","4,620"
"Males","Finland","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","3,805"
"Males","Finland","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","5,368"
"Males","Finland","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,876"
"Males","Finland","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,267"
"Males","Finland","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","2,796"
"Males","Finland","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,779"
"Males","Finland","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","4,010"
"Males","Finland","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,673"
"Males","Finland","Gross earnings","Total","Education","2018","10 employees or more","Euro","3,818"
"Males","Finland","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,723"
"Males","Finland","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","3,146"
"Males","Finland","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","3,446"
"Males","Sweden","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,743"
"Males","Sweden","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","3,738"
"Males","Sweden","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","3,821"
"Males","Sweden","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","3,820"
"Males","Sweden","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","3,857"
"Males","Sweden","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","4,180"
"Males","Sweden","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","3,833"
"Males","Sweden","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","4,445"
"Males","Sweden","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","3,536"
"Males","Sweden","Gross earnings","Total","Construction","2018","10 employees or more","Euro","3,743"
"Males","Sweden","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,708"
"Males","Sweden","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","3,698"
"Males","Sweden","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","3,713"
"Males","Sweden","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","3,710"
"Males","Sweden","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","3,315"
"Males","Sweden","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","2,780"
"Males","Sweden","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","4,630"
"Males","Sweden","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","4,016"
"Males","Sweden","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","5,794"
"Males","Sweden","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","3,810"
"Males","Sweden","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","4,593"
"Males","Sweden","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","3,094"
"Males","Sweden","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,497"
"Males","Sweden","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","3,901"
"Males","Sweden","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","3,431"
"Males","Sweden","Gross earnings","Total","Education","2018","10 employees or more","Euro","3,433"
"Males","Sweden","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","3,440"
"Males","Sweden","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","3,197"
"Males","Sweden","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","3,542"
"Males","Iceland","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5,379"
"Males","Iceland","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","5,309"
"Males","Iceland","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","5,316"
"Males","Iceland","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","5,534"
"Males","Iceland","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","5,509"
"Males","Iceland","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro",":"
"Males","Iceland","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","5,410"
"Males","Iceland","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","7,198"
"Males","Iceland","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","4,777"
"Males","Iceland","Gross earnings","Total","Construction","2018","10 employees or more","Euro","5,595"
"Males","Iceland","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5,309"
"Males","Iceland","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5,195"
"Males","Iceland","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","4,857"
"Males","Iceland","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","5,020"
"Males","Iceland","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","5,324"
"Males","Iceland","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","3,849"
"Males","Iceland","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","5,756"
"Males","Iceland","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","9,342"
"Males","Iceland","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","9,342"
"Males","Iceland","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro",":"
"Males","Iceland","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro",":"
"Males","Iceland","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro",":"
"Males","Iceland","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","5,601"
"Males","Iceland","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","6,268"
"Males","Iceland","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","5,272"
"Males","Iceland","Gross earnings","Total","Education","2018","10 employees or more","Euro","4,765"
"Males","Iceland","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","5,797"
"Males","Iceland","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro",":"
"Males","Iceland","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro",":"
"Males","Norway","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5,164"
"Males","Norway","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","5,136"
"Males","Norway","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","5,213"
"Males","Norway","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","5,341"
"Males","Norway","Gross earnings","Total","Industry (except construction)","2018","10 employees or more","Euro","5,847"
"Males","Norway","Gross earnings","Total","Mining and quarrying","2018","10 employees or more","Euro","8,173"
"Males","Norway","Gross earnings","Total","Manufacturing","2018","10 employees or more","Euro","5,220"
"Males","Norway","Gross earnings","Total","Electricity, gas, steam and air conditioning supply","2018","10 employees or more","Euro","6,554"
"Males","Norway","Gross earnings","Total","Water supply; sewerage, waste management and remediation activities","2018","10 employees or more","Euro","4,647"
"Males","Norway","Gross earnings","Total","Construction","2018","10 employees or more","Euro","4,667"
"Males","Norway","Gross earnings","Total","Services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5,076"
"Males","Norway","Gross earnings","Total","Services (except public administration, defense, compulsory social security, activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","5,022"
"Males","Norway","Gross earnings","Total","Wholesale and retail trade; transport; accommodation and food service activities; information and communication","2018","10 employees or more","Euro","4,861"
"Males","Norway","Gross earnings","Total","Wholesale and retail trade; repair of motor vehicles and motorcycles","2018","10 employees or more","Euro","4,521"
"Males","Norway","Gross earnings","Total","Transportation and storage","2018","10 employees or more","Euro","5,006"
"Males","Norway","Gross earnings","Total","Accommodation and food service activities","2018","10 employees or more","Euro","3,318"
"Males","Norway","Gross earnings","Total","Information and communication","2018","10 employees or more","Euro","6,649"
"Males","Norway","Gross earnings","Total","Financial and insurance activities; real estate activities; professional, scientific and technical activities; administrative and support service activities","2018","10 employees or more","Euro","5,623"
"Males","Norway","Gross earnings","Total","Financial and insurance activities","2018","10 employees or more","Euro","8,023"
"Males","Norway","Gross earnings","Total","Real estate activities","2018","10 employees or more","Euro","6,263"
"Males","Norway","Gross earnings","Total","Professional, scientific and technical activities","2018","10 employees or more","Euro","6,592"
"Males","Norway","Gross earnings","Total","Administrative and support service activities","2018","10 employees or more","Euro","4,223"
"Males","Norway","Gross earnings","Total","Public administration and defence; compulsory social security; education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","5,002"
"Males","Norway","Gross earnings","Total","Public administration and defence; compulsory social security","2018","10 employees or more","Euro","5,561"
"Males","Norway","Gross earnings","Total","Education; human health and social work activities; arts, entertainment and recreation; other service activities","2018","10 employees or more","Euro","4,781"
"Males","Norway","Gross earnings","Total","Education","2018","10 employees or more","Euro","4,836"
"Males","Norway","Gross earnings","Total","Human health and social work activities","2018","10 employees or more","Euro","4,850"
"Males","Norway","Gross earnings","Total","Arts, entertainment and recreation","2018","10 employees or more","Euro","4,160"
"Males","Norway","Gross earnings","Total","Other service activities","2018","10 employees or more","Euro","4,861"
"Males","Switzerland","Gross earnings","Total","Industry, construction and services (except activities of households as employers and extra-territorial organisations and bodies)","2018","10 employees or more","Euro","7,226"
"Males","Switzerland","Gross earnings","Total","Industry, construction and services (except public administration, defense, compulsory social security)","2018","10 employees or more","Euro","7,224"
"Males","Switzerland","Gross earnings","Total","Business economy","2018","10 employees or more","Euro","7,171"
"Males","Switzerland","Gross earnings","Total","Industry and construction","2018","10 employees or more","Euro","6,595"
